REGIONNAME,STATENAME,DISTRICTNAME,ProgramSubType,PROGRAMLAUNCHNAME,CLS/RB/Y1/SS1,CLS/RB/Y1/SS2,CLS/Y1/SA/C1/SS3,CLS/Y1/SA/C1/SS4,CLS/Y1/CM/C1/SS5,CLS/Y1/EM/C1/SS6,CLS/Y1/EM/C2/SS7,CLS/Y1/SA/C2/SS8,CLS/Y1/SA/C3/SS9,CLS/Y1/SA/C2/SS10,CLS/Y1/PS/C1/SS11,CLS/Y1/PS/C2/SS12,CLS/Y1/NE/C2/SS13,CLS/Y1/EM/SS14,Unique_Children_Atleast_1_Session,Region,Target_Outreach,Total_Session_Attendance,Sessions_Conducted,Average_Sessions_Per_Child
NORTH,NCT OF DELHI,NORTH WEST DELHI,LIFE SKILL PROGRAMME,01987 - FN000405-BA Continuum India Private Limited - (BACI) -NFC HOLISTIC EDUCATION PROGRAMME (PHASE 2)- BUILDING FUTURE SKILLS May2026_6,2261,2260,1605,0,0,0,0,0,0,0,0,0,43,0,2281,North,3800,6169,4,2.7
WEST,GUJARAT,AHMADABAD,LIFE SKILL PROGRAMME,01985 - FN000405-BA Continuum India Private Limited - (BACI) -NFC HOLISTIC EDUCATION PROGRAMME (PHASE 2)- BUILDING FUTURE SKILLS May2026_2,1698,1694,1690,1695,0,0,0,0,0,0,0,0,0,0,1729,West,1800,6777,4,3.92
WEST,MAHARASHTRA,MUMBAI,LIFE SKILL PROGRAMME,01987 - FN000405-BA Continuum India Private Limited - (BACI) -NFC HOLISTIC EDUCATION PROGRAMME (PHASE 2)- BUILDING FUTURE SKILLS May2026_5,1848,2141,2124,2081,2002,2064,2040,0,0,0,0,0,0,0,2227,West,2200,14300,7,6.42
SOUTH,TAMIL NADU,CHENNAI,LIFE SKILL PROGRAMME,01987 - FN000405-BA Continuum India Private Limited - (BACI) -NFC HOLISTIC EDUCATION PROGRAMME (PHASE 2)- BUILDING FUTURE SKILLS May2026_3,1690,1741,1691,1684,0,0,0,0,0,0,0,0,0,0,1812,South,1800,6806,4,3.76
SOUTH,TELANGANA,GREATER HYDERABAD,LIFE SKILL PROGRAMME,01987 - FN000405-BA Continuum India Private Limited - (BACI) -NFC HOLISTIC EDUCATION PROGRAMME (PHASE 2)- BUILDING FUTURE SKILLS May2026_2,4977,4848,4021,3889,927,0,0,31,0,0,0,0,0,0,5058,South,5000,18693,6,3.7
